
sum: 3.141585 time: 8.036270 
sum: 3.141584 time: 4.022452 
sum: 3.141600 time: 2.681660 
sum: 3.141608 time: 2.012056 
sum: 3.141594 time: 1.609347 
sum: 3.141679 time: 1.343261 
sum: 3.141630 time: 1.154102 
sum: 3.141462 time: 1.007577 
-
sum: 3.141583 time: 8.142528 
sum: 3.141595 time: 4.075404 
sum: 3.141555 time: 2.717987 
sum: 3.141657 time: 2.038729 
sum: 3.141582 time: 1.633260 
sum: 3.141576 time: 1.360557 
sum: 3.141559 time: 1.166072 
sum: 3.141663 time: 1.032981 
-
sum: 3.141603 time: 8.142081 
sum: 3.141573 time: 4.075623 
sum: 3.141544 time: 2.717646 
sum: 3.141523 time: 2.038677 
sum: 3.141585 time: 1.631458 
sum: 3.141570 time: 1.360013 
sum: 3.141524 time: 1.182820 
sum: 3.141575 time: 1.042833 
-
sum: 3.141612 time: 8.142173 
sum: 3.141574 time: 4.075608 
sum: 3.141574 time: 2.717568 
sum: 3.141506 time: 2.039063 
sum: 3.141583 time: 1.631298 
sum: 3.141550 time: 1.361095 
sum: 3.141501 time: 1.166726 
sum: 3.141634 time: 1.031694 
